EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-4751.369193184939	1000.0	0.027683258	8.516631	0.0	0.09522780553367216	0.09663201	3000
-4483.56318581297	1000.0	0.014743701	8.517918	0.06636216107717996	0.10983481199486878	-0.035582468	6000
-4159.598263751593	1000.0	0.011880169	8.518326	0.05698186597811883	0.10127965774061931	-0.047038533	9000
-3962.8205792371405	1000.0	0.01167603	8.5181265	-0.42057306011276197	0.18663478871870487	-0.0578442	12000
-3525.2269157688843	1000.0	0.0090583665	8.5178585	-0.035862855809894345	0.11639533351943443	-0.029397294	15000
-3752.1312818538804	1000.0	0.009460812	8.5175	-0.08906227555130042	0.10576713867504028	-0.021864695	18000
-3198.476102650096	1000.0	0.008474695	8.516881	0.007370359115768221	0.08519291765807446	-0.044640936	21000
-3058.7822224468655	1000.0	0.010290284	8.516227	-0.045944706932095514	0.16611352894156195	-0.031398352	24000
-2931.831793027315	1000.0	0.009556934	8.515242	0.10837485156125592	0.17082935043433645	-0.069323234	27000
-3034.412841854591	1000.0	0.009089377	8.514247	-24.03423061347339	0.06663186433669943	-0.026946243	30000
-2858.110570123881	1000.0	0.009498749	8.51299	0.007965323340750063	0.05993484329510257	-0.0843234	33000
-2881.2832145822886	1000.0	0.00809672	8.511745	0.048071357309235285	0.11559278392469874	-0.036050532	36000
-2539.6778769465072	1000.0	0.007580315	8.510546	-0.02583608032122675	0.05532095310462726	-0.03372439	39000
-2429.5394565048678	1000.0	0.006384781	8.509172	0.08007230125151077	0.19817474812122082	-0.08520528	42000
-2452.72730633806	1000.0	0.008506012	8.508126	-21.04042154175536	0.11076601162118449	0.043544322	45000
-2381.146670574547	1000.0	0.008851624	8.506982	0.07416917941673107	0.11749813153188593	-0.054063722	48000
-2132.5870411101664	1000.0	0.0067229187	8.505705	-0.006796672734201037	0.08248194346073068	-0.069607705	51000
-2314.578348691755	1000.0	0.006186062	8.50428	-0.10736866218592889	0.1191452724678217	-0.08326211	54000
-2262.260352204366	1000.0	0.006334731	8.502847	0.05232430601741944	0.1071151023267477	-0.051834952	57000
-2365.2737901901114	1000.0	0.0061743706	8.501408	0.018866728584114978	0.0720065109971666	-0.057296418	60000
-2025.2342079617993	1000.0	0.0055342955	8.499845	0.033936217389147316	0.08542821263955536	-0.076225735	63000
-1902.50222255222	1000.0	0.005586767	8.498462	0.06656838450237235	0.1387200722888151	-0.0025034891	66000
-1981.0594981493061	1000.0	0.0040596034	8.497095	-15.328659070440139	0.09234721262873857	-0.03369488	69000
-1903.343939624832	1000.0	0.0034087289	8.495585	0.08344943521654546	0.14369103813742223	-0.08377623	72000
-1928.3788385431826	1000.0	0.0029285399	8.494037	0.017696368128537032	0.1395388977815969	-0.05920824	75000
-1966.8723377759525	1000.0	0.0033806823	8.492222	0.050572573239376584	0.09267478699003773	-0.14920092	78000
-1909.1909159848226	1000.0	0.0025813726	8.490372	0.02485827532353979	0.1390177831685827	-0.07717231	81000
-1819.7293978716432	1000.0	0.0024799644	8.488575	0.06257708534115303	0.09717980076207444	-0.03355656	84000
-1804.9210958510776	1000.0	0.0024116877	8.486803	0.1040910044222344	0.2612134373064172	-0.056820862	87000
-1778.0006007694435	1000.0	0.0028830038	8.484862	0.05744622578877856	0.12226154421037183	-0.12406354	90000
-1717.7039665037837	1000.0	0.002813918	8.482859	0.07584265121989531	0.22432838388463716	-0.08819942	93000
-1711.1946125177674	1000.0	0.0033377467	8.480701	0.1485804409387248	0.19117031205789503	-0.12599948	96000
-1782.3045611148457	1000.0	0.0035255759	8.478673	-1.277514106234387	0.11167576220963582	-0.022346266	99000
-1772.4672984788128	1000.0	0.0039712894	8.476759	-4.739609976224526	0.13556090643045537	-0.02376022	102000
-1652.172208639067	1000.0	0.00271162	8.474814	0.07276095586385456	0.13355075346589773	-0.07545968	105000
-1684.6983872115622	1000.0	0.0026049553	8.472979	0.021999892875323113	0.11772860580017142	-0.022387441	108000
-1613.8306362729402	1000.0	0.0024798901	8.471286	0.022489812253610908	0.1686992218928346	-0.0109835	111000
-1607.266962183707	1000.0	0.00277525	8.469647	-17.861437685463518	0.10683066005879838	-0.03156902	114000
-1524.6467060271855	1000.0	0.0023966595	8.467864	0.06153945796349092	0.09788647325319666	-0.102844566	117000
-1658.6436921251961	1000.0	0.0032311687	8.465991	0.008863487291621452	0.10513896383090049	-0.08423735	120000
-1541.7788626335616	1000.0	0.0034182053	8.464166	-0.03538738531107888	0.09295102122698928	-0.04043806	123000
-1514.9458362553057	1000.0	0.0029199535	8.462188	0.11802113557057003	0.16455433731024904	-0.10747603	126000
-1552.458419888663	1000.0	0.0026433952	8.460039	-0.14708346696169117	0.05261249492658637	-0.124053426	129000
-1463.7135202153906	1000.0	0.0017818677	8.457967	-0.8877024411889554	0.14240536082516453	-0.043123953	132000
-1340.7024323491078	1000.0	0.0019354107	8.455846	0.05561365740786284	0.13131689250664524	-0.092390776	135000
-1415.2519493329826	1000.0	0.0024425955	8.453952	0.06590138782039523	0.10645178315498438	0.012042853	138000
-1520.024566608043	1000.0	0.0030187676	8.45201	-0.008267634253566136	0.07394422666946399	-0.08053885	141000
-1502.522189749088	1000.0	0.0033924982	8.450055	0.02434116959036947	0.07131814555342797	-0.07887	144000
-1484.9545148006	1000.0	0.0023894992	8.448029	0.021043083045762412	0.07644127787188448	-0.081651956	147000
-1472.1297497632756	1000.0	0.002378513	8.445996	0.033809710906890666	0.09297542922777868	-0.06625423	150000
-1405.5803954288067	1000.0	0.002311811	8.444074	-0.03988623145633441	0.10149862483036376	-0.02729397	153000
-1344.6559162336528	1000.0	0.0018392549	8.442047	0.06864992429505812	0.11384925522446687	-0.10737473	156000
-1270.0571573360394	1000.0	0.0017725464	8.439924	0.08470764591917324	0.1105916290091371	-0.1001969	159000
-1366.9617507009455	1000.0	0.00215237	8.437697	-0.0542555627900676	0.10500068515090377	-0.11160675	162000
-1277.7956669142166	1000.0	0.0021294518	8.4354	0.05637081336938221	0.11505278985613743	-0.097876035	165000
-1328.3191110388757	1000.0	0.0015354126	8.43304	-0.0009907982476109467	0.20581024511387636	-0.09838144	168000
-1294.7416761671986	1000.0	0.0017351191	8.430813	-0.9157241812809305	0.11869186137226595	-0.032637816	171000
-1332.8615217858267	1000.0	0.0021973802	8.428545	-0.03800615339658475	0.05329826980880814	-0.092651084	174000
-1210.1075558634511	1000.0	0.002437707	8.426232	0.02461921242670917	0.10727254561615507	-0.08951369	177000
-1228.2568929913207	1000.0	0.0024389606	8.423975	-2.0407823129746627	0.07275696215982685	-0.06046003	180000
-1232.4626609335407	1000.0	0.0021508685	8.42166	0.0349308659638754	0.1127806377902969	-0.10376782	183000
-1252.5709607095125	1000.0	0.002215694	8.4194145	0.0853552213607307	0.19046773804316564	-0.057619974	186000
-1194.1137852112054	1000.0	0.0016377586	8.417177	-0.04497634461160027	0.09577237722538334	-0.07214206	189000
-1243.2732639221033	1000.0	0.0017517434	8.414963	-0.05652662820735732	0.09429070440581122	-0.06532705	192000
-1236.383355816635	1000.0	0.0018320471	8.412772	0.01501699689492797	0.06723586969683293	-0.06355394	195000
-1110.6962348468603	1000.0	0.0016365678	8.410679	0.011009946874476872	0.09574846700898632	-0.045433674	198000
-1221.2091045399216	1000.0	0.0018619599	8.408618	-0.04636355925973623	0.08564047337062031	-0.06432559	201000
-1149.534623555941	1000.0	0.0019090585	8.406402	0.05273118518397779	0.1011040990550014	-0.12441724	204000
-1137.8777768640505	1000.0	0.0018454506	8.40424	0.10568376287228576	0.13665749698026874	-0.054470554	207000
-1172.1168328829287	1000.0	0.0017920098	8.402054	0.016140989630231584	0.12972913665092134	-0.089783125	210000
